Date,Total,Cash,Hold Number,Code
2016-01-13,1000000,1000000,0,NA
2016-01-14,1000000,1000000,0,NA
2016-01-15,1000000,1000000,0,NA
2016-01-18,1000000,1000000,0,NA
2016-01-19,1000000,1000000,0,NA
2016-01-20,999001.29,295.75,999,NA
2016-01-21,956257.84,956257.84,1956,399006
2016-01-22,955303.43,887.24,2910,NA
2016-01-25,958446.58,958446.58,3869,399006
2016-01-26,958446.58,958446.58,3869,NA
2016-01-27,958446.58,958446.58,3869,NA
2016-01-28,958446.58,958446.58,3869,NA
2016-01-29,958446.58,958446.58,3869,NA
2016-02-01,958446.58,958446.58,3869,NA
2016-02-02,958446.58,958446.58,3869,NA
2016-02-03,958446.58,958446.58,3869,NA
2016-02-04,957489.60,503.40,4826,NA
2016-02-05,944147.10,503.40,4826,399006
2016-02-15,953080.50,503.40,4826,399006
2016-02-16,991369.65,503.40,4826,399006
2016-02-17,997406.85,503.40,4826,399006
2016-02-18,984442.11,-881.58,6797,399008
2016-02-19,990464.57,-881.58,6797,399008
2016-02-22,1011290.80,-881.58,6797,399008
2016-02-23,1006041.25,-881.58,6797,399008
2016-02-24,1004835.91,-881.58,6797,399008
2016-02-25,926765.26,926765.26,7725,399008
2016-02-26,926765.26,926765.26,7725,NA
2016-02-29,926765.26,926765.26,7725,NA
2016-03-01,926765.26,926765.26,7725,NA
2016-03-02,926765.26,926765.26,7725,NA
2016-03-03,926765.26,926765.26,7725,NA
2016-03-04,926765.26,926765.26,7725,NA
2016-03-07,925840.02,597.70,8651,NA
2016-03-08,926684.25,597.70,8651,399300
2016-03-09,916025.98,597.70,8651,399300
2016-03-10,898515.21,597.70,8651,399300
2016-03-11,899146.88,899146.88,9550,399300
2016-03-14,898248.61,-20.22,10448,NA
2016-03-15,886612.26,-20.22,10448,399006
2016-03-16,878006.65,-20.22,10448,399006
2016-03-17,926737.87,-20.22,10448,399006
2016-03-18,966954.06,-20.22,10448,399006
2016-03-21,988782.88,-20.22,10448,399006
2016-03-22,986415.47,-20.22,10448,399006
2016-03-23,1003022.84,-20.22,10448,399006
2016-03-24,985557.66,-20.22,10448,399006
2016-03-25,983921.96,-20.22,10448,399006
2016-03-28,974687.91,-660.96,12400,399008
2016-03-29,956551.82,-660.96,12400,399008
2016-03-30,994198.30,-660.96,12400,399008
2016-03-31,994948.59,-660.96,12400,399008
2016-04-01,985820.59,985820.59,13388,399008
2016-04-05,984835.67,-85.30,14373,NA
2016-04-06,991284.65,-85.30,14373,399008
2016-04-07,974561.86,-85.30,14373,399008
2016-04-08,966804.77,-85.30,14373,399008
2016-04-11,985182.96,-85.30,14373,399008
2016-04-12,974427.72,1861.42,16322,399610
2016-04-13,982275.97,437.55,18286,399006
2016-04-14,995278.19,437.55,18286,399006
2016-04-15,987005.50,2160.11,20259,399337
2016-04-18,967738.28,-182.92,22195,399008
2016-04-19,971096.20,-182.92,22195,399008
2016-04-20,928456.05,928456.05,23124,399008
2016-04-21,928456.05,928456.05,23124,NA
2016-04-22,928456.05,928456.05,23124,NA
2016-04-25,928456.05,928456.05,23124,NA
2016-04-26,928456.05,928456.05,23124,NA
2016-04-27,928456.05,928456.05,23124,NA
2016-04-28,928456.05,928456.05,23124,NA
2016-04-29,927528.72,198.36,24052,NA
2016-05-03,951935.89,744.22,25957,399006
2016-05-04,949270.94,744.22,25957,399006
2016-05-05,952973.74,-123.86,27864,399008
2016-05-06,915854.60,915854.60,28781,399008
2016-05-09,915854.60,915854.60,28781,NA
2016-05-10,915854.60,915854.60,28781,NA
2016-05-11,915854.60,915854.60,28781,NA
2016-05-12,915854.60,915854.60,28781,NA
2016-05-13,915854.60,915854.60,28781,NA
2016-05-16,915854.60,915854.60,28781,NA
2016-05-17,915854.60,915854.60,28781,NA
2016-05-18,914941.64,1979.46,29694,NA
2016-05-19,914368.81,914368.81,30607,399004
2016-05-20,913459.23,3874.02,31516,NA
2016-05-23,920515.21,-609.51,33356,399006
2016-05-24,910538.94,-609.51,33356,399006
2016-05-25,906914.99,-609.51,33356,399006
2016-05-26,915147.56,-609.51,33356,399006
2016-05-27,908070.00,-609.51,33356,399006
2016-05-30,901278.71,3790.16,35157,399610
2016-05-31,938952.74,3790.16,35157,399610
2016-06-01,942630.31,3790.16,35157,399610
2016-06-02,947510.92,3790.16,35157,399610
2016-06-03,957783.25,3790.16,35157,399610
2016-06-06,958624.51,3790.16,35157,399610
2016-06-07,952622.48,352.87,37060,399008
2016-06-08,953514.52,352.87,37060,399008
2016-06-13,907039.61,907039.61,37968,399008
2016-06-14,907039.61,907039.61,37968,NA
2016-06-15,907039.61,907039.61,37968,NA
2016-06-16,907039.61,907039.61,37968,NA
2016-06-17,907039.61,907039.61,37968,NA
2016-06-20,907039.61,907039.61,37968,NA
2016-06-21,907039.61,907039.61,37968,NA
2016-06-22,906133.63,155.05,38874,NA
2016-06-23,902583.11,155.05,38874,399008
2016-06-24,892631.75,155.05,38874,399008
2016-06-27,911594.14,-197.16,40699,399006
2016-06-28,921954.20,-197.16,40699,399006
2016-06-29,919074.65,-197.16,40699,399006
2016-06-30,926563.48,-197.16,40699,399006
2016-07-01,919652.47,-197.16,40699,399006
2016-07-04,935267.03,-197.16,40699,399006
2016-07-05,934148.83,-197.16,40699,399006
2016-07-06,930429.66,773.59,42561,399300
2016-07-07,928450.30,773.59,42561,399300
2016-07-08,921498.62,176.42,44405,399008
2016-07-11,914401.02,1452.25,46234,399300
2016-07-12,934309.12,1452.25,46234,399300
2016-07-13,935201.93,3115.24,48102,399337
2016-07-14,935412.63,3115.24,48102,399337
2016-07-15,934341.22,3115.24,48102,399337
2016-07-18,926572.75,1011.23,49953,399610
2016-07-19,930554.70,1011.23,49953,399610
2016-07-20,932596.95,1011.23,49953,399610
2016-07-21,935489.53,1011.23,49953,399610
2016-07-22,935939.45,1011.23,49953,399610
2016-07-25,939551.98,1011.23,49953,399610
2016-07-26,948019.53,1011.23,49953,399610
2016-07-27,908845.46,908845.46,50861,399610
2016-07-28,908845.46,908845.46,50861,NA
2016-07-29,908845.46,908845.46,50861,NA
2016-08-01,908845.46,908845.46,50861,NA
2016-08-02,908845.46,908845.46,50861,NA
2016-08-03,908845.46,908845.46,50861,NA
2016-08-04,908845.46,908845.46,50861,NA
2016-08-05,907937.64,114.53,51769,NA
2016-08-08,919451.39,114.53,51769,399004
2016-08-09,928157.25,114.53,51769,399004
2016-08-10,919605.95,2847.75,53607,399610
2016-08-11,906422.08,534.78,55418,399004
2016-08-12,922225.91,534.78,55418,399004
2016-08-15,952873.38,534.78,55418,399004
2016-08-16,957596.08,534.78,55418,399004
2016-08-17,956140.64,534.78,55418,399004
2016-08-18,954368.82,534.78,55418,399004
2016-08-19,952448.87,534.78,55418,399004
2016-08-22,940188.67,534.78,55418,399004
2016-08-23,940675.03,-735.38,57302,399006
2016-08-24,946578.54,104.16,59198,399008
2016-08-25,939113.19,939113.19,60138,399008
2016-08-26,939113.19,939113.19,60138,NA
2016-08-29,939113.19,939113.19,60138,NA
2016-08-30,939113.19,939113.19,60138,NA
2016-08-31,938175.12,102.70,61076,NA
2016-09-01,933710.22,102.70,61076,399006
2016-09-02,928300.36,928300.36,62005,399006
2016-09-05,927374.17,1183.45,62931,NA
2016-09-06,931912.47,1142.82,64794,399004
2016-09-07,928203.55,1142.82,64794,399004
2016-09-08,924845.00,-117.69,66645,399006
2016-09-09,916316.58,-117.69,66645,399006
2016-09-12,891543.96,891543.96,67537,399006
2016-09-13,891543.96,891543.96,67537,NA
2016-09-14,891543.96,891543.96,67537,NA
2016-09-19,891543.96,891543.96,67537,NA
2016-09-20,891543.96,891543.96,67537,NA
2016-09-21,891543.96,891543.96,67537,NA
2016-09-22,891543.96,891543.96,67537,NA
2016-09-23,890652.98,-326.54,68428,NA
2016-09-26,868416.00,868416.00,69298,399610
2016-09-27,867551.47,3022.40,70162,NA
2016-09-28,865199.02,865199.02,71025,399004
2016-09-29,865199.02,865199.02,71025,NA
2016-09-30,865199.02,865199.02,71025,NA
2016-10-10,864335.51,824.13,71889,NA
2016-10-11,865270.78,824.13,71889,399006
2016-10-12,864810.96,824.13,71889,399006
2016-10-13,862647.67,43.68,73615,399008
2016-10-14,860476.78,43.68,73615,399008
2016-10-17,852596.91,43.68,73615,399008
2016-10-18,865138.92,43.68,73615,399008
2016-10-19,860236.16,1330.00,75336,399300
2016-10-20,859129.81,15.45,77055,399008
2016-10-21,853118.96,1217.52,78761,399300
2016-10-24,863317.23,1217.52,78761,399300
2016-10-25,863285.74,1217.52,78761,399300
2016-10-26,860046.32,1217.52,78761,399300
2016-10-27,857715.44,1217.52,78761,399300
2016-10-28,856289.78,1217.52,78761,399300
2016-10-31,855304.69,1217.52,78761,399300
2016-11-01,861134.83,1217.52,78761,399300
2016-11-02,853702.29,853702.29,79615,399300
2016-11-03,853702.29,853702.29,79615,NA
2016-11-04,853702.29,853702.29,79615,NA
2016-11-07,852849.72,275.35,80467,NA
2016-11-08,856539.32,275.35,80467,399300
2016-11-09,851951.32,275.35,80467,399300
